mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_data_in_leaf,param_model__n_estimators,param_model__num_leaves,param_winsorizer__limits,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.31689802805582684,0.008225023388820463,0.05019529660542806,0.000706462327227024,0.05,10,20,5,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 5, 'winsorizer__limits': (0.0, 1.0)}",0.34027166079463533,0.6649595764514833,0.6227993421463831,0.5426768597975006,0.14415332063861114,21,0.7078765482541243,0.6053819265538081,0.6173714798427989,0.6435433182169105,0.045753037875702444
0.31316010157267254,0.006661312746952967,0.04877789815266927,0.003197366069119148,0.05,10,20,5,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 5, 'winsorizer__limits': (0.005, 0.995)}",0.34027166079463533,0.6649595764514833,0.6227993421463831,0.5426768597975006,0.14415332063861114,21,0.7078765482541243,0.6053819265538081,0.6173714798427989,0.6435433182169105,0.045753037875702444
0.307636022567749,0.007641252251124093,0.05291104316711426,0.0021666742306518743,0.05,10,20,10,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 10, 'winsorizer__limits': (0.0, 1.0)}",0.34026691634497164,0.6649595764514833,0.6051342241988877,0.5367869056651142,0.14109062771809355,29,0.7083953263380018,0.6053819265538081,0.619515334017642,0.6444308623031506,0.04559625566559911
0.30168581008911133,0.0030675379928613855,0.0533443291982015,0.005996012068683737,0.05,10,20,10,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 10, 'winsorizer__limits': (0.005, 0.995)}",0.34026691634497164,0.6649595764514833,0.6051342241988877,0.5367869056651142,0.14109062771809355,29,0.7083953263380018,0.6053819265538081,0.619515334017642,0.6444308623031506,0.04559625566559911
0.30182210604349774,0.008333516716612798,0.07302403450012207,0.0037019007990464624,0.05,10,20,20,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 20, 'winsorizer__limits': (0.0, 1.0)}",0.34026691634497164,0.6649595764514833,0.6051342241988877,0.5367869056651142,0.14109062771809355,29,0.7083953263380018,0.6053819265538081,0.619515334017642,0.6444308623031506,0.04559625566559911
0.3237091700236003,0.019255810733810688,0.052427212397257485,0.005724498489176306,0.05,10,20,20,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 20, 'winsorizer__limits': (0.005, 0.995)}",0.34026691634497164,0.6649595764514833,0.6051342241988877,0.5367869056651142,0.14109062771809355,29,0.7083953263380018,0.6053819265538081,0.619515334017642,0.6444308623031506,0.04559625566559911
0.3226483662923177,0.01605804123267583,0.05174064636230469,0.003150944854335711,0.05,10,50,5,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 5, 'winsorizer__limits': (0.0, 1.0)}",0.4302248298567175,0.7608967910145122,0.5794227487164095,0.590181456529213,0.13521045033412787,1,0.8778591350756882,0.7834360201914247,0.7868443292380426,0.8160464948350518,0.04373027946231362
0.3391164143880208,0.002959181959217957,0.055825233459472656,0.006156446451590587,0.05,10,50,5,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 5, 'winsorizer__limits': (0.005, 0.995)}",0.4302248298567175,0.7608967910145122,0.5794227487164095,0.590181456529213,0.13521045033412787,1,0.8778591350756882,0.7834360201914247,0.7868443292380426,0.8160464948350518,0.04373027946231362
0.31360069910685223,0.0038057765482626448,0.04983162879943848,0.00045595793908279395,0.05,10,50,10,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 10, 'winsorizer__limits': (0.0, 1.0)}",0.43243439023795116,0.7584058182817872,0.547011712018068,0.5792839735126022,0.1350196704723998,7,0.8788172371076748,0.7825392717790635,0.7875083494168098,0.8162882861011825,0.044261158432058724
0.31131601333618164,0.002245019325811922,0.05033071835835775,0.0018929890106440211,0.05,10,50,10,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 10, 'winsorizer__limits': (0.005, 0.995)}",0.43243439023795116,0.7584058182817872,0.547011712018068,0.5792839735126022,0.1350196704723998,7,0.8788172371076748,0.7825392717790635,0.7875083494168098,0.8162882861011825,0.044261158432058724
0.3150485356648763,0.00869884463367576,0.051360368728637695,0.003843529642948281,0.05,10,50,20,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 20, 'winsorizer__limits': (0.0, 1.0)}",0.43243439023795116,0.7584058182817872,0.547011712018068,0.5792839735126022,0.1350196704723998,7,0.8788172371076748,0.7825392717790635,0.7875083494168098,0.8162882861011825,0.044261158432058724
