Feature,Coefficient
cat4__group1,0.16
bin0,0.15
cont19,0.10
cont13,0.09
cont5,0.01
cont10,-0.03
bin4,-0.04
bin6,-0.06
cont15,-0.06
cont6,-0.07
cont7,-0.13
cont3,-0.21
