0,1,2
cont6,0.024535797573630135,-0.098338422933876
cont19,0.05301262269092788,-0.07726593781136908
cont13,0.05571258337429981,-0.07407095043760958
cont10,0.0586520139181423,-0.07686732690584164
cont15,0.06864423121140961,-0.08586250882568577
bin0,0.09111412622553176,-0.0985436474064308
cat4,0.1258096035851426,-0.12219281275624001
bin6,0.1380990906058324,-0.1502446753264345
cont3,0.19107897592838446,-0.17270368154083648
cont7,0.24200019680298449,-0.15118832789353923
bin4,0.2583469928124737,-0.1566707434724752
cont5,0.26436085064975723,-0.18502963024977617
cat1,0.2767385234559974,-0.22061355702279614
cont2,0.2849982230603997,-0.27750446844157894
bin13,0.29734628188473583,-0.3905984200660992
bin8,0.3114799932933634,-0.5187715489790594
cont8,0.3273576241943837,-0.6620065643940236
bin7,0.34109161829520585,-0.7575953185842715
bin15,0.34505541507728,-0.942717613906183
cont16,0.3640011380052009,-1.2078295390964668
bin3,0.39744259576009533,-1.8131392629026195
bin19,0.46627442216128784,-2.8195606450569413
cont9,0.5416619115826808,-3.001690384795185
cont11,0.6581888099465848,-2.9502754038383716
bin11,0.6882908937411335,-2.805423638057881
bin16,0.7389394312907036,-2.9450686786702596
bin12,0.7687612534639303,-2.9712622133744544
cont0,0.7848768674854674,-4.258445350527893
bin14,0.8148502343623841,-5.929970889484092
cont18,0.8323285060512793,-7.628627728948375
