0,1,2
bin9,0.05064190182776955,-0.07277075821564156
cont0,0.08436442601842394,-0.03666494125797002
cont14,0.1426407395032356,-0.00864050529328202
cat5,0.2360244486490169,0.032096570269868716
cat7,0.281864487917776,0.0599768531708428
bin8,0.32131306568120815,0.0875757428738353
bin11,0.3753878680684455,0.13410104002273618
cont18,0.40258033705791263,0.15411610355999358
bin12,0.45351292341886823,0.1791815969442399
bin14,0.4677012703466496,0.20266637745032554
bin4,0.4812192974255594,0.2261539563256981
cont12,0.49351397537105174,0.22583853456203942
cont4,0.5286525176442282,0.2364702159786301
cont19,0.5368051097487434,0.2485920547192686
bin19,0.5572069067437324,0.2547422301644967
bin15,0.5808451170756174,0.25307283292563254
bin5,0.59334645733777,0.2611117932252511
bin2,0.6115542868469376,0.2780985364128407
cont2,0.6241654231073352,0.300930077999095
cat1,0.6271140540388797,0.29945476892118605
bin13,0.6292189830859394,0.29617430588959415
cont13,0.6298463757258922,0.2899076990474022
cat9,0.6331296705742817,0.27739318812293956
bin7,0.6381182132161214,0.26498501662197893
cont3,0.6431401706338365,0.2521514829688406
cont11,0.6455928651995239,0.23623389848964965
cont7,0.6492543195727475,0.22103705301702697
bin10,0.655578371326649,0.20142801763948723
cont8,0.7037251242092613,0.19127669282146936
cont16,0.7060256355731876,0.17184735403699908
