mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_data_in_leaf,param_model__n_estimators,param_model__num_leaves,param_winsorizer__limits,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.37241919835408527,0.002287605293113287,0.11159372329711914,0.0020095989710850796,0.05,10,20,5,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 5, 'winsorizer__limits': (0.0, 1.0)}",0.6014492753623188,0.4637586805555555,0.4792020373514431,0.5148033310897725,0.061591471603581485,107,0.9886314886314886,0.970648604269294,0.9767465894997932,0.978675560800192,0.007467115918226066
0.3401140371958415,0.019576775187063147,0.08953428268432617,0.012551170825163856,0.05,10,20,5,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 5, 'winsorizer__limits': (0.005, 0.995)}",0.6014492753623188,0.4637586805555555,0.4792020373514431,0.5148033310897725,0.061591471603581485,107,0.9886314886314886,0.970648604269294,0.9767465894997932,0.978675560800192,0.007467115918226066
0.36077109972635907,0.03225325425085813,0.07584706942240398,0.0144905755764719,0.05,10,20,10,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 10, 'winsorizer__limits': (0.0, 1.0)}",0.5664251207729468,0.4969618055555556,0.4804753820033955,0.514620769443966,0.03724440586940688,109,1.0,0.9998973727422004,0.999896651508888,0.9999313414170294,4.8549842471537626e-05
0.3881567319234212,0.008387250585165889,0.06044721603393555,0.0006288452018290374,0.05,10,20,10,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 10, 'winsorizer__limits': (0.005, 0.995)}",0.5664251207729468,0.4969618055555556,0.4804753820033955,0.514620769443966,0.03724440586940688,109,1.0,0.9998973727422004,0.999896651508888,0.9999313414170294,4.8549842471537626e-05
0.3501903216044108,0.0033813307371435416,0.0600136915842692,0.00026055688221792345,0.05,10,20,20,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 20, 'winsorizer__limits': (0.0, 1.0)}",0.5301932367149758,0.4717881944444444,0.5012733446519524,0.5010849252704576,0.023844130892851183,135,1.0,1.0,1.0,1.0,0.0
0.3565394878387451,0.005099372270616846,0.06265528996785481,0.002302706675575011,0.05,10,20,20,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 20, 'winsorizer__limits': (0.005, 0.995)}",0.5301932367149758,0.4717881944444444,0.5012733446519524,0.5010849252704576,0.023844130892851183,135,1.0,1.0,1.0,1.0,0.0
0.391097625096639,0.04986532209030663,0.07644160588582356,0.01499209590206978,0.05,10,50,5,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 5, 'winsorizer__limits': (0.0, 1.0)}",0.6034621578099839,0.4756944444444444,0.5089134125636672,0.5293566716060318,0.05412696355095479,61,1.0,0.9962027914614122,0.9980363786688714,0.9980797233767612,0.001550506851357007
0.4596097469329834,0.006134497367236947,0.09971936543782552,0.006382190771034161,0.05,10,50,5,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 5, 'winsorizer__limits': (0.005, 0.995)}",0.6034621578099839,0.4756944444444444,0.5089134125636672,0.5293566716060318,0.05412696355095479,61,1.0,0.9962027914614122,0.9980363786688714,0.9980797233767612,0.001550506851357007
0.55668838818868,0.029319914493730923,0.10796101888020833,0.018404045860805948,0.05,10,50,10,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 10, 'winsorizer__limits': (0.0, 1.0)}",0.5527375201288244,0.5503472222222223,0.515704584040747,0.539596442130598,0.016922254445153107,29,1.0,1.0,1.0,1.0,0.0
0.8297304312388102,0.1859889193766148,0.07461929321289062,0.015741892380991884,0.05,10,50,10,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 10, 'winsorizer__limits': (0.005, 0.995)}",0.5527375201288244,0.5503472222222223,0.515704584040747,0.539596442130598,0.016922254445153107,29,1.0,1.0,1.0,1.0,0.0
0.8911600112915039,0.025516451614701292,0.12543439865112305,0.03330250409163349,0.05,10,50,20,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 20, 'winsorizer__limits': (0.0, 1.0)}",0.5551529790660226,0.5060763888888888,0.517402376910017,0.5262105816216428,0.020981202357269153,81,1.0,1.0,1.0,1.0,0.0
0.7785676320393881,0.0301071496596422,0.1094217300415039,0.02317861696656875,0.05,10,50,20,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 20, 'winsorizer__limits': (0.005, 0.995)}",0.5551529790660226,0.5060763888888888,0.517402376910017,0.5262105816216428,0.020981202357269153,81,1.0,1.0,1.0,1.0,0.0
