Targeting Method,Targeting Method,Spearman,AUC,Accuracy,Precision,Recall
phone_poverty,phone_poverty,0.0401,0.0207,0.0409,0.0706,0.0706
phone_poverty_old_model_new_data,phone_poverty_old_model_new_data,0.0119,0.0149,0.048,0.0831,0.0831
phone_poverty_old_model_old_data,phone_poverty_old_model_old_data,0.0401,0.0207,0.0409,0.0706,0.0706
prefecture_poverty,prefecture_poverty,0.116,0.0704,0.041,0.0703,0.0703
canton_poverty,canton_poverty,0.1164,0.0599,0.0499,0.0873,0.0873
