Targeting Method,Spearman,AUC,Accuracy,Precision,Recall
phone_poverty,0.86,0.85,0.81,1.0,0.6
phone_poverty_old_model_new_data,0.97,0.96,0.81,1.0,0.6
phone_poverty_old_model_old_data,0.86,0.85,0.81,1.0,0.6
prefecture_poverty,-0.03,0.47,0.5,0.47,0.28
canton_poverty,-0.19,0.38,0.43,0.35,0.21
