Targeting Method,Spearman,AUC,Accuracy,Precision,Recall
prefecture_poverty,-0.03,0.47,0.5,0.47,0.28
canton_poverty,-0.19,0.38,0.43,0.35,0.21
single_feature,0.55,0.74,0.65,0.73,0.44
phone_poverty,0.86,0.85,0.81,1.0,0.6
assetindex,0.82,0.86,0.79,0.97,0.58
ppi,0.9,0.91,0.79,0.97,0.58
pmt,0.95,0.94,0.81,1.0,0.6
random,0.1,0.51,0.54,0.54,0.32
formal_occupation,-0.05,0.46,0.49,0.45,0.27
occupation_poverty,-0.03,0.49,0.47,0.42,0.25
