Targeting Method,Spearman,AUC,Accuracy,Precision,Recall
prefecture_poverty,0.0,0.49,0.52,0.17,0.17
canton_poverty,-0.13,0.42,0.52,0.17,0.17
single_feature,0.54,0.75,0.71,0.5,0.5
phone_poverty,0.81,0.81,0.84,0.73,0.73
assetindex,0.78,0.85,0.84,0.72,0.72
ppi,0.84,0.88,0.84,0.72,0.72
random,0.1,0.52,0.63,0.36,0.36
formal_occupation,-0.1,0.43,0.61,0.33,0.33
occupation_poverty,0.03,0.52,0.56,0.24,0.24
