Targeting Method,Spearman,AUC,Accuracy,Precision,Recall
prefecture_poverty,-0.07,0.45,0.61,0.32,0.32
canton_poverty,0.02,0.5,0.61,0.32,0.32
single_feature,0.45,0.68,0.75,0.56,0.56
phone_poverty,0.69,0.78,0.83,0.7,0.7
assetindex,0.73,0.8,0.73,0.54,0.54
ppi,0.83,0.88,0.85,0.74,0.74
random,0.17,0.57,0.66,0.41,0.41
formal_occupation,-0.17,0.46,0.6,0.31,0.31
occupation_poverty,0.06,0.49,0.67,0.43,0.43
