Targeting Method,Spearman,AUC,Accuracy,Precision,Recall
phone_poverty,0.86,0.85,0.84,0.49,0.93
phone_poverty_old_model_new_data,0.97,0.96,0.86,0.53,1.0
phone_poverty_old_model_old_data,0.86,0.85,0.84,0.49,0.93
prefecture_poverty,-0.03,0.47,0.64,0.14,0.27
canton_poverty,-0.19,0.38,0.59,0.05,0.1
