mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_data_in_leaf,param_model__n_estimators,param_model__num_leaves,param_winsorizer__limits,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.20823939641316733,0.013721914763287242,0.0432427724202474,0.0002501376665414262,0.05,10,20,5,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 5, 'winsorizer__limits': (0.0, 1.0)}",0.3190097360822941,0.4275818235008314,0.2827464823630833,0.3431126806487363,0.06153607594033333,33,0.6904764332343689,0.6366883945755881,0.6513239003476776,0.6594962427192116,0.022706513904865874
0.22579256693522134,0.0010559701131464937,0.04144748051961263,0.001633935598334594,0.05,10,20,5,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 5, 'winsorizer__limits': (0.005, 0.995)}",0.3190097360822941,0.4275818235008314,0.2827464823630833,0.3431126806487363,0.06153607594033333,33,0.6904764332343689,0.6366883945755881,0.6513239003476776,0.6594962427192116,0.022706513904865874
0.21769348780314127,0.007641575433286366,0.04250582059224447,0.0006785372748709934,0.05,10,20,10,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 10, 'winsorizer__limits': (0.0, 1.0)}",0.30175439724842845,0.41927363488674685,0.29510892588167204,0.33871231933894913,0.05703001984052184,39,0.7016585073823283,0.6470231552242519,0.6602386310570021,0.6696400978878607,0.023274393802174616
0.200268824895223,0.04905841883402173,0.03525710105895996,0.00935976281597678,0.05,10,20,10,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 10, 'winsorizer__limits': (0.005, 0.995)}",0.30175439724842845,0.41927363488674685,0.29510892588167204,0.33871231933894913,0.05703001984052184,39,0.7016585073823283,0.6470231552242519,0.6602386310570021,0.6696400978878607,0.023274393802174616
0.19515124956766763,0.01734510675814641,0.04297161102294922,0.0005863164503229134,0.05,10,20,20,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 20, 'winsorizer__limits': (0.0, 1.0)}",0.30175439724842845,0.41927363488674685,0.29510892588167204,0.33871231933894913,0.05703001984052184,39,0.7016585073823283,0.6470231552242519,0.6602386310570021,0.6696400978878607,0.023274393802174616
0.24372108777364096,0.003102904746687976,0.04147783915201823,0.0005168812642450733,0.05,10,20,20,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 20, 'model__num_leaves': 20, 'winsorizer__limits': (0.005, 0.995)}",0.30175439724842845,0.41927363488674685,0.29510892588167204,0.33871231933894913,0.05703001984052184,39,0.7016585073823283,0.6470231552242519,0.6602386310570021,0.6696400978878607,0.023274393802174616
0.2572906017303467,0.0026090208621027526,0.0421910285949707,0.0007892919949952301,0.05,10,50,5,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 5, 'winsorizer__limits': (0.0, 1.0)}",0.3485645472764005,0.4616879447387514,0.296347359779343,0.36886661726483166,0.0690096988016477,1,0.9109582800067493,0.8834405357942154,0.8849077237777813,0.8931021798595821,0.012640369047725112
0.2542537848154704,0.008316023144986747,0.04302899042765299,0.002881256060675354,0.05,10,50,5,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 5, 'winsorizer__limits': (0.005, 0.995)}",0.3485645472764005,0.4616879447387514,0.296347359779343,0.36886661726483166,0.0690096988016477,1,0.9109582800067493,0.8834405357942154,0.8849077237777813,0.8931021798595821,0.012640369047725112
0.2619932492574056,0.0019233528314825438,0.04155747095743815,0.0032070512819325405,0.05,10,50,10,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 10, 'winsorizer__limits': (0.0, 1.0)}",0.3278214084940446,0.44098787219665114,0.33301559275896164,0.36727495781655245,0.05216601829639864,3,0.918155510065185,0.889730791442693,0.8861980942162027,0.8980281319080269,0.014305092357489304
0.25998950004577637,0.011770022009524674,0.04306745529174805,0.0006393380800767835,0.05,10,50,10,"(0.005, 0.995)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 10, 'winsorizer__limits': (0.005, 0.995)}",0.3278214084940446,0.44098787219665114,0.33301559275896164,0.36727495781655245,0.05216601829639864,3,0.918155510065185,0.889730791442693,0.8861980942162027,0.8980281319080269,0.014305092357489304
0.2415322462717692,0.042356323661375615,0.043570359547932945,0.0002910020493310296,0.05,10,50,20,"(0.0, 1.0)","{'model__learning_rate': 0.05, 'model__min_data_in_leaf': 10, 'model__n_estimators': 50, 'model__num_leaves': 20, 'winsorizer__limits': (0.0, 1.0)}",0.3278214084940446,0.44098787219665114,0.33301559275896164,0.36727495781655245,0.05216601829639864,3,0.918155510065185,0.889730791442693,0.8861980942162027,0.8980281319080269,0.014305092357489304
